Province/State,Country/Region,Last Update,Confirmed,Deaths,Recovered,Latitude,Longitude,date,year,month,day
,Cote d'Ivoire,2020-04-11 22:45:13,533,4,58,7.54,-5.5471,Apr11,2020,4,11
,Croatia,2020-04-11 22:45:13,1534,21,323,45.1,15.2,Apr11,2020,4,11
,Cuba,2020-04-11 22:45:13,620,16,77,21.521757,-77.78116700000002,Apr11,2020,4,11
,Cyprus,2020-04-11 22:45:13,616,10,61,35.1264,33.4299,Apr11,2020,4,11
,Czechia,2020-04-11 22:45:13,5831,129,411,49.8175,15.473,Apr11,2020,4,11
,Denmark,2020-04-11 22:45:13,5996,260,1955,56.2639,9.5018,Apr11,2020,4,11
,Diamond Princess,2020-04-11 22:45:13,712,11,619,,,Apr11,2020,4,11
,Djibouti,2020-04-11 22:45:13,187,2,36,11.8251,42.5903,Apr11,2020,4,11
,Dominica,2020-04-11 22:45:13,16,0,5,15.415,-61.371,Apr11,2020,4,11
,Dominican Republic,2020-04-11 22:45:13,2759,135,108,18.7357,-70.1627,Apr11,2020,4,11
,Ecuador,2020-04-11 22:45:13,7257,315,411,-1.8312,-78.1834,Apr11,2020,4,11
,Egypt,2020-04-11 22:45:13,1939,146,426,26.820553000000004,30.802498,Apr11,2020,4,11
,El Salvador,2020-04-11 22:45:13,118,6,19,13.7942,-88.8965,Apr11,2020,4,11
,Equatorial Guinea,2020-04-11 22:45:13,18,0,3,1.6508,10.2679,Apr11,2020,4,11
,Eritrea,2020-04-11 22:45:13,34,0,0,15.1794,39.7823,Apr11,2020,4,11
,Estonia,2020-04-11 22:45:13,1304,24,93,58.5953,25.0136,Apr11,2020,4,11
,Eswatini,2020-04-11 22:45:13,12,0,7,-26.5225,31.4659,Apr11,2020,4,11
,Ethiopia,2020-04-11 22:45:13,69,3,10,9.145,40.4897,Apr11,2020,4,11
,Fiji,2020-04-11 22:45:13,16,0,0,-17.7134,178.065,Apr11,2020,4,11
,Finland,2020-04-11 22:45:13,2905,49,300,61.92411,25.748151,Apr11,2020,4,11
,France,2020-04-11 22:45:13,129654,13832,26391,46.2276,2.2137,Apr11,2020,4,11
,Gabon,2020-04-11 22:45:13,46,1,1,-0.8037,11.6094,Apr11,2020,4,11
,Gambia,2020-04-11 22:45:13,9,1,2,13.4432,-15.3101,Apr11,2020,4,11
,Georgia,2020-04-11 22:45:13,242,3,60,42.3154,43.3569,Apr11,2020,4,11
,Germany,2020-04-11 22:45:13,124908,2736,57400,51.165691,10.451526,Apr11,2020,4,11
,Ghana,2020-04-11 22:45:13,408,8,4,7.9465,-1.0232,Apr11,2020,4,11
,Greece,2020-04-11 22:45:13,2081,93,269,39.0742,21.8243,Apr11,2020,4,11
,Grenada,2020-04-11 22:45:13,14,0,0,12.1165,-61.679,Apr11,2020,4,11
,Guatemala,2020-04-11 22:45:13,137,3,19,15.7835,-90.2308,Apr11,2020,4,11
,Guinea,2020-04-11 22:45:13,250,0,17,9.9456,-9.6966,Apr11,2020,4,11
,Guinea-Bissau,2020-04-11 22:45:13,38,0,0,11.8037,-15.1804,Apr11,2020,4,11
,Guyana,2020-04-11 22:45:13,45,6,8,4.860416000000002,-58.93018000000001,Apr11,2020,4,11
,Haiti,2020-04-11 22:45:13,33,2,0,18.9712,-72.2852,Apr11,2020,4,11
,Holy See,2020-04-11 22:45:13,8,0,2,41.9029,12.4534,Apr11,2020,4,11
,Honduras,2020-04-11 22:45:13,392,24,7,15.2,-86.2419,Apr11,2020,4,11
,Hungary,2020-04-11 22:45:13,1310,85,115,47.1625,19.5033,Apr11,2020,4,11
